Symbol,Date,Open,High,Low,Close,Volume
AXU,04-Nov-2014,0.49,0.52,0.46,0.49,339100
AXU,05-Nov-2014,0.48,0.48,0.44,0.45,408800
AXU,06-Nov-2014,0.46,0.51,0.46,0.5,183700
AXU,07-Nov-2014,0.5,0.54,0.49,0.53,352700
AXU,10-Nov-2014,0.51,0.53,0.5,0.5,265700
AXU,11-Nov-2014,0.5,0.52,0.5,0.51,141000
AXU,12-Nov-2014,0.49,0.52,0.49,0.5,89400
AXU,13-Nov-2014,0.5,0.51,0.48,0.48,182200
AXU,14-Nov-2014,0.5,0.54,0.48,0.53,357300
AXU,17-Nov-2014,0.53,0.54,0.51,0.53,134600
AXU,18-Nov-2014,0.54,0.59,0.54,0.58,478600
AXU,19-Nov-2014,0.59,0.59,0.55,0.55,174800
AXU,20-Nov-2014,0.55,0.59,0.55,0.59,162300
AXU,21-Nov-2014,0.58,0.62,0.58,0.59,226400
AXU,24-Nov-2014,0.6,0.61,0.57,0.59,235400
AXU,25-Nov-2014,0.59,0.64,0.58,0.62,286100
AXU,26-Nov-2014,0.66,0.68,0.61,0.65,290100
AXU,27-Nov-2014,0.65,0.65,0.65,0.65,0
AXU,28-Nov-2014,0.63,0.67,0.59,0.6,163800
AXU,01-Dec-2014,0.61,0.65,0.58,0.64,262900
AXU,02-Dec-2014,0.64,0.64,0.58,0.6,230900
AXU,03-Dec-2014,0.59,0.61,0.58,0.61,102100
AXU,04-Dec-2014,0.59,0.6,0.55,0.58,188400
AXU,05-Dec-2014,0.56,0.58,0.52,0.55,239200
AXU,08-Dec-2014,0.55,0.56,0.51,0.54,90400
AXU,09-Dec-2014,0.53,0.59,0.53,0.54,315100
AXU,10-Dec-2014,0.52,0.55,0.51,0.52,174400
AXU,11-Dec-2014,0.53,0.53,0.51,0.51,188600
AXU,12-Dec-2014,0.53,0.53,0.49,0.51,208000
AXU,15-Dec-2014,0.49,0.51,0.48,0.5,225800
AXU,16-Dec-2014,0.5,0.5,0.48,0.48,123200
AXU,17-Dec-2014,0.48,0.5,0.47,0.49,146900
AXU,18-Dec-2014,0.5,0.51,0.46,0.49,205100
AXU,19-Dec-2014,0.48,0.5,0.47,0.5,199200
AXU,22-Dec-2014,0.5,0.5,0.46,0.46,326800
AXU,23-Dec-2014,0.49,0.49,0.47,0.48,126400
AXU,24-Dec-2014,0.48,0.5,0.47,0.5,105400
AXU,25-Dec-2014,0.5,0.5,0.5,0.5,0
AXU,26-Dec-2014,0.5,0.6,0.5,0.56,388300
AXU,29-Dec-2014,0.56,0.58,0.51,0.53,334400
AXU,30-Dec-2014,0.54,0.55,0.52,0.53,301600
AXU,31-Dec-2014,0.51,0.52,0.5,0.51,260100
AXU,01-Jan-2015,0.51,0.51,0.51,0.51,0
AXU,02-Jan-2015,0.5,0.54,0.5,0.54,108400
AXU,05-Jan-2015,0.54,0.55,0.53,0.55,144000
AXU,06-Jan-2015,0.55,0.58,0.52,0.55,500400
AXU,07-Jan-2015,0.56,0.56,0.51,0.55,193600
AXU,08-Jan-2015,0.55,0.56,0.53,0.55,106500
AXU,09-Jan-2015,0.55,0.55,0.53,0.55,75500
AXU,12-Jan-2015,0.56,0.56,0.53,0.54,293900
AXU,13-Jan-2015,0.56,0.57,0.51,0.51,292600
AXU,14-Jan-2015,0.53,0.53,0.48,0.49,420000
AXU,15-Jan-2015,0.51,0.52,0.48,0.52,333600
AXU,16-Jan-2015,0.51,0.55,0.49,0.55,414400
AXU,19-Jan-2015,0.55,0.55,0.55,0.55,0
AXU,20-Jan-2015,0.55,0.62,0.53,0.62,1340600
AXU,21-Jan-2015,0.64,0.68,0.6,0.64,570700
AXU,22-Jan-2015,0.63,0.64,0.6,0.63,257200
AXU,23-Jan-2015,0.62,0.63,0.6,0.62,220700
AXU,26-Jan-2015,0.6,0.61,0.56,0.58,155300
AXU,27-Jan-2015,0.59,0.61,0.58,0.59,240900
AXU,28-Jan-2015,0.59,0.59,0.55,0.56,297600
AXU,29-Jan-2015,0.54,0.55,0.51,0.55,239600
AXU,30-Jan-2015,0.53,0.54,0.49,0.53,302000
AXU,02-Feb-2015,0.52,0.53,0.5,0.52,287600
AXU,03-Feb-2015,0.51,0.52,0.51,0.52,87500
AXU,04-Feb-2015,0.52,0.52,0.49,0.52,333800
AXU,05-Feb-2015,0.52,0.55,0.51,0.55,176900
AXU,06-Feb-2015,0.53,0.54,0.5,0.51,210100
AXU,09-Feb-2015,0.5,0.54,0.5,0.51,136200
AXU,10-Feb-2015,0.51,0.51,0.48,0.49,264200
AXU,11-Feb-2015,0.51,0.51,0.47,0.48,283900
AXU,12-Feb-2015,0.48,0.48,0.45,0.47,517200
AXU,13-Feb-2015,0.47,0.5,0.45,0.47,161900
AXU,16-Feb-2015,0.47,0.47,0.47,0.47,0
AXU,17-Feb-2015,0.46,0.48,0.46,0.47,230900
AXU,18-Feb-2015,0.48,0.49,0.47,0.48,195300
AXU,19-Feb-2015,0.49,0.49,0.48,0.48,161100
AXU,20-Feb-2015,0.48,0.49,0.47,0.48,96600
AXU,23-Feb-2015,0.47,0.48,0.46,0.46,162100
AXU,24-Feb-2015,0.46,0.47,0.45,0.46,85900
AXU,25-Feb-2015,0.46,0.47,0.44,0.44,136500
AXU,26-Feb-2015,0.45,0.46,0.43,0.43,283500
AXU,27-Feb-2015,0.44,0.45,0.42,0.42,208400
AXU,02-Mar-2015,0.42,0.43,0.42,0.43,98100
AXU,03-Mar-2015,0.43,0.44,0.43,0.43,33100
AXU,04-Mar-2015,0.43,0.43,0.41,0.43,101100
AXU,05-Mar-2015,0.43,0.44,0.4,0.41,290500
AXU,06-Mar-2015,0.4,0.41,0.38,0.4,326200
AXU,09-Mar-2015,0.39,0.4,0.37,0.38,183300
AXU,10-Mar-2015,0.38,0.39,0.27,0.27,1592200
AXU,11-Mar-2015,0.3,0.39,0.26,0.37,1199500
AXU,12-Mar-2015,0.39,0.4,0.34,0.36,395600
AXU,13-Mar-2015,0.36,0.4,0.34,0.4,114900
AXU,16-Mar-2015,0.4,0.41,0.37,0.37,163900
AXU,17-Mar-2015,0.38,0.38,0.35,0.38,100100
AXU,18-Mar-2015,0.37,0.41,0.36,0.41,196600
AXU,19-Mar-2015,0.41,0.41,0.37,0.38,107700
AXU,20-Mar-2015,0.38,0.4,0.37,0.38,324700
